Descripcio_causa_mediata,Numero_expedient
No hi ha causa mediata,2018S008876    
No hi ha causa mediata,2018S000945    
No hi ha causa mediata,2018S008064    
Alcoholèmia,2018S008380    
No hi ha causa mediata,2018S008422    
No hi ha causa mediata,2018S008389    
No hi ha causa mediata,2018S006889    
No hi ha causa mediata,2018S003604    
No hi ha causa mediata,2018S009698    
No hi ha causa mediata,2018S008350    
No hi ha causa mediata,2018S007093    
No hi ha causa mediata,2018S005352    
No hi ha causa mediata,2018S007885    
No hi ha causa mediata,2018S004401    
No hi ha causa mediata,2018S004791    
No hi ha causa mediata,2018S000056    
No hi ha causa mediata,2018S007173    
No hi ha causa mediata,2018S005424    
No hi ha causa mediata,2018S003080    
No hi ha causa mediata,2018S009097    
No hi ha causa mediata,2018S002326    
No hi ha causa mediata,2018S000363    
No hi ha causa mediata,2018S002026    
No hi ha causa mediata,2018S007204    
No hi ha causa mediata,2018S007748    
No hi ha causa mediata,2018S004207    
No hi ha causa mediata,2018S006018    
No hi ha causa mediata,2018S008480    
No hi ha causa mediata,2018S000608    
No hi ha causa mediata,2018S002775    
No hi ha causa mediata,2018S001680    
No hi ha causa mediata,2018S007982    
No hi ha causa mediata,2018S006105    
No hi ha causa mediata,2018S000877    
No hi ha causa mediata,2018S000262    
No hi ha causa mediata,2018S008665    
No hi ha causa mediata,2018S005651    
No hi ha causa mediata,2018S009189    
No hi ha causa mediata,2018S005774    
No hi ha causa mediata,2018S009922    
No hi ha causa mediata,2018S007878    
No hi ha causa mediata,2018S005859    
No hi ha causa mediata,2018S006591    
No hi ha causa mediata,2018S001078    
No hi ha causa mediata,2018S004152    
No hi ha causa mediata,2018S000903    
No hi ha causa mediata,2018S001196    
No hi ha causa mediata,2018S005947    
No hi ha causa mediata,2018S009566    
No hi ha causa mediata,2018S003012    
No hi ha causa mediata,2018S001439    
No hi ha causa mediata,2018S003837    
No hi ha causa mediata,2018S000310    
No hi ha causa mediata,2018S007410    
No hi ha causa mediata,2018S001315    
No hi ha causa mediata,2018S004153    
No hi ha causa mediata,2018S007169    
Alcoholèmia,2018S003353    
No hi ha causa mediata,2018S001999    
No hi ha causa mediata,2018S002301    
No hi ha causa mediata,2018S000035    
No hi ha causa mediata,2018S001276    
No hi ha causa mediata,2018S003059    
No hi ha causa mediata,2018S008863    
No hi ha causa mediata,2018S001010    
No hi ha causa mediata,2018S004170    
No hi ha causa mediata,2018S005434    
No hi ha causa mediata,2018S000090    
No hi ha causa mediata,2018S000072    
No hi ha causa mediata,2018S005896    
No hi ha causa mediata,2018S009327    
No hi ha causa mediata,2018S007282    
No hi ha causa mediata,2018S007498    
No hi ha causa mediata,2018S009741    
No hi ha causa mediata,2018S009517    
No hi ha causa mediata,2018S004692    
No hi ha causa mediata,2018S000640    
No hi ha causa mediata,2018S006524    
No hi ha causa mediata,2018S007861    
No hi ha causa mediata,2018S000435    
No hi ha causa mediata,2018S008944    
No hi ha causa mediata,2018S003131    
No hi ha causa mediata,2018S000370    
No hi ha causa mediata,2018S003845    
No hi ha causa mediata,2018S005177    
No hi ha causa mediata,2018S004518    
No hi ha causa mediata,2018S006231    
No hi ha causa mediata,2018S007383    
No hi ha causa mediata,2018S002752    
No hi ha causa mediata,2018S001990    
Alcoholèmia,2018S006023    
No hi ha causa mediata,2018S007210    
No hi ha causa mediata,2018S001460    
No hi ha causa mediata,2018S002807    
No hi ha causa mediata,2018S009328    
No hi ha causa mediata,2018S008506    
No hi ha causa mediata,2018S001866    
No hi ha causa mediata,2018S008248    
No hi ha causa mediata,2018S008674    
No hi ha causa mediata,2018S003189    
No hi ha causa mediata,2018S001053    
No hi ha causa mediata,2018S007664    
No hi ha causa mediata,2018S004941    
No hi ha causa mediata,2018S009700    
No hi ha causa mediata,2018S005885    
No hi ha causa mediata,2018S008927    
No hi ha causa mediata,2018S002789    
No hi ha causa mediata,2018S001789    
Alcoholèmia,2018S009388    
No hi ha causa mediata,2018S006564    
No hi ha causa mediata,2018S000181    
No hi ha causa mediata,2018S008582    
No hi ha causa mediata,2018S003337    
No hi ha causa mediata,2018S005553    
No hi ha causa mediata,2018S008154    
No hi ha causa mediata,2018S002874    
No hi ha causa mediata,2018S003134    
No hi ha causa mediata,2018S008272    
Excés de velocitat o inadequada,2018S003695    
No hi ha causa mediata,2018S008442    
No hi ha causa mediata,2018S006506    
No hi ha causa mediata,2018S008608    
No hi ha causa mediata,2018S005706    
No hi ha causa mediata,2018S008692    
No hi ha causa mediata,2018S000686    
No hi ha causa mediata,2018S007363    
No hi ha causa mediata,2018S000711    
No hi ha causa mediata,2018S009463    
No hi ha causa mediata,2018S009929    
No hi ha causa mediata,2018S004982    
No hi ha causa mediata,2018S009172    
No hi ha causa mediata,2018S002929    
No hi ha causa mediata,2018S009601    
No hi ha causa mediata,2018S007407    
No hi ha causa mediata,2018S000911    
No hi ha causa mediata,2018S006127    
No hi ha causa mediata,2018S004572    
No hi ha causa mediata,2018S001229    
No hi ha causa mediata,2018S005874    
No hi ha causa mediata,2018S000302    
No hi ha causa mediata,2018S007223    
No hi ha causa mediata,2018S001163    
No hi ha causa mediata,2018S001699    
No hi ha causa mediata,2018S008133    
No hi ha causa mediata,2018S008510    
No hi ha causa mediata,2018S004228    
No hi ha causa mediata,2018S005951    
No hi ha causa mediata,2018S003473    
No hi ha causa mediata,2018S006846    
No hi ha causa mediata,2018S008338    
No hi ha causa mediata,2018S002302    
No hi ha causa mediata,2018S003757    
No hi ha causa mediata,2018S005207    
No hi ha causa mediata,2018S001543    
No hi ha causa mediata,2018S002271    
No hi ha causa mediata,2018S001026    
No hi ha causa mediata,2018S009264    
No hi ha causa mediata,2018S000775    
No hi ha causa mediata,2018S008082    
No hi ha causa mediata,2018S003137    
No hi ha causa mediata,2018S007354    
Alcoholèmia,2018S008947    
Alcoholèmia,2018S000312    
No hi ha causa mediata,2018S008251    
No hi ha causa mediata,2018S007716    
No hi ha causa mediata,2018S000771    
No hi ha causa mediata,2018S005822    
No hi ha causa mediata,2018S000458    
No hi ha causa mediata,2018S005176    
No hi ha causa mediata,2018S004988    
No hi ha causa mediata,2018S001562    
No hi ha causa mediata,2018S000846    
No hi ha causa mediata,2018S000723    
No hi ha causa mediata,2018S001880    
No hi ha causa mediata,2018S007279    
No hi ha causa mediata,2018S006656    
No hi ha causa mediata,2018S005344    
No hi ha causa mediata,2018S008511    
No hi ha causa mediata,2018S004616    
No hi ha causa mediata,2018S007701    
No hi ha causa mediata,2018S006452    
No hi ha causa mediata,2018S001303    
No hi ha causa mediata,2018S002694    
No hi ha causa mediata,2018S002018    
No hi ha causa mediata,2018S000878    
No hi ha causa mediata,2018S004792    
No hi ha causa mediata,2018S000756    
No hi ha causa mediata,2018S001452    
No hi ha causa mediata,2018S007252    
No hi ha causa mediata,2018S002476    
No hi ha causa mediata,2018S000329    
No hi ha causa mediata,2018S008461    
No hi ha causa mediata,2018S004680    
No hi ha causa mediata,2018S008924    
No hi ha causa mediata,2018S005390    
No hi ha causa mediata,2018S000600    
No hi ha causa mediata,2018S008747    
No hi ha causa mediata,2018S001314    
No hi ha causa mediata,2018S001918    
No hi ha causa mediata,2018S002050    
No hi ha causa mediata,2018S009459    
No hi ha causa mediata,2018S006883    
Alcoholèmia,2018S005464    
No hi ha causa mediata,2018S003439    
No hi ha causa mediata,2018S007675    
No hi ha causa mediata,2018S001288    
No hi ha causa mediata,2018S004534    
Alcoholèmia,2018S000101    
No hi ha causa mediata,2018S000733    
No hi ha causa mediata,2018S006420    
Alcoholèmia,2018S001876    
No hi ha causa mediata,2018S004351    
No hi ha causa mediata,2018S003673    
No hi ha causa mediata,2018S000678    
No hi ha causa mediata,2018S005532    
No hi ha causa mediata,2018S005017    
No hi ha causa mediata,2018S004087    
No hi ha causa mediata,2018S005171    
No hi ha causa mediata,2018S000033    
No hi ha causa mediata,2018S003367    
No hi ha causa mediata,2018S001170    
No hi ha causa mediata,2018S009666    
No hi ha causa mediata,2018S000761    
No hi ha causa mediata,2018S001005    
No hi ha causa mediata,2018S006313    
No hi ha causa mediata,2018S007794    
No hi ha causa mediata,2018S007051    
No hi ha causa mediata,2018S005136    
No hi ha causa mediata,2018S001847    
No hi ha causa mediata,2018S004316    
No hi ha causa mediata,2018S001529    
No hi ha causa mediata,2018S003141    
No hi ha causa mediata,2018S009084    
No hi ha causa mediata,2018S001389    
No hi ha causa mediata,2018S001628    
Alcoholèmia,2018S005782    
No hi ha causa mediata,2018S000890    
No hi ha causa mediata,2018S001488    
Alcoholèmia,2018S004707    
No hi ha causa mediata,2018S000642    
Alcoholèmia,2018S009532    
No hi ha causa mediata,2018S004914    
No hi ha causa mediata,2018S004399    
No hi ha causa mediata,2018S003828    
No hi ha causa mediata,2018S002763    
No hi ha causa mediata,2018S008467    
No hi ha causa mediata,2018S003579    
No hi ha causa mediata,2018S000147    
No hi ha causa mediata,2018S003969    
No hi ha causa mediata,2018S002995    
No hi ha causa mediata,2018S007263    
No hi ha causa mediata,2018S009660    
No hi ha causa mediata,2018S009366    
No hi ha causa mediata,2018S008443    
No hi ha causa mediata,2018S000983    
No hi ha causa mediata,2018S000741    
No hi ha causa mediata,2018S000136    
No hi ha causa mediata,2018S002482    
No hi ha causa mediata,2018S005423    
No hi ha causa mediata,2018S001088    
No hi ha causa mediata,2018S001420    
No hi ha causa mediata,2018S001110    
No hi ha causa mediata,2018S007213    
No hi ha causa mediata,2018S006286    
No hi ha causa mediata,2018S002175    
No hi ha causa mediata,2018S002172    
No hi ha causa mediata,2018S004652    
No hi ha causa mediata,2018S002858    
No hi ha causa mediata,2018S004989    
No hi ha causa mediata,2018S006553    
No hi ha causa mediata,2018S007521    
No hi ha causa mediata,2018S009842    
No hi ha causa mediata,2018S001745    
No hi ha causa mediata,2018S003992    
No hi ha causa mediata,2018S003794    
No hi ha causa mediata,2018S003530    
No hi ha causa mediata,2018S001274    
No hi ha causa mediata,2018S002588    
No hi ha causa mediata,2018S006117    
No hi ha causa mediata,2018S003583    
No hi ha causa mediata,2018S007956    
No hi ha causa mediata,2018S006000    
No hi ha causa mediata,2018S009636    
No hi ha causa mediata,2018S001443    
No hi ha causa mediata,2018S008968    
No hi ha causa mediata,2018S000625    
No hi ha causa mediata,2018S008671    
Alcoholèmia,2018S008719    
No hi ha causa mediata,2018S007616    
No hi ha causa mediata,2018S007935    
No hi ha causa mediata,2018S000188    
No hi ha causa mediata,2018S004641    
No hi ha causa mediata,2018S003460    
No hi ha causa mediata,2018S005549    
No hi ha causa mediata,2018S000490    
No hi ha causa mediata,2018S007685    
No hi ha causa mediata,2018S005575    
No hi ha causa mediata,2018S007610    
No hi ha causa mediata,2018S000259    
No hi ha causa mediata,2018S005127    
No hi ha causa mediata,2018S008120    
No hi ha causa mediata,2018S005096    
No hi ha causa mediata,2018S005160    
No hi ha causa mediata,2018S003545    
No hi ha causa mediata,2018S006486    
No hi ha causa mediata,2018S001390    
No hi ha causa mediata,2018S009650    
No hi ha causa mediata,2018S006838    
No hi ha causa mediata,2018S007000    
No hi ha causa mediata,2018S007293    
No hi ha causa mediata,2018S009591    
No hi ha causa mediata,2018S001079    
No hi ha causa mediata,2018S000107    
No hi ha causa mediata,2018S005613    
No hi ha causa mediata,2018S001242    
No hi ha causa mediata,2018S004405    
No hi ha causa mediata,2018S008433    
No hi ha causa mediata,2018S004918    
No hi ha causa mediata,2018S001595    
Alcoholèmia,2018S003284    
Alcoholèmia,2018S001267    
Alcoholèmia,2018S002503    
No hi ha causa mediata,2018S009948    
No hi ha causa mediata,2018S009295    
No hi ha causa mediata,2018S001924    
No hi ha causa mediata,2018S008873    
No hi ha causa mediata,2018S002703    
No hi ha causa mediata,2018S005852    
No hi ha causa mediata,2018S009307    
No hi ha causa mediata,2018S004930    
No hi ha causa mediata,2018S007924    
No hi ha causa mediata,2018S004263    
No hi ha causa mediata,2018S005889    
No hi ha causa mediata,2018S003357    
No hi ha causa mediata,2018S002044    
No hi ha causa mediata,2018S009809    
No hi ha causa mediata,2018S008445    
No hi ha causa mediata,2018S000885    
No hi ha causa mediata,2018S007366    
No hi ha causa mediata,2018S007554    
No hi ha causa mediata,2018S002206    
No hi ha causa mediata,2018S003175    
No hi ha causa mediata,2018S006178    
No hi ha causa mediata,2018S007125    
No hi ha causa mediata,2018S001395    
No hi ha causa mediata,2018S005203    
No hi ha causa mediata,2018S000872    
Alcoholèmia,2018S007549    
No hi ha causa mediata,2018S001808    
No hi ha causa mediata,2018S006479    
No hi ha causa mediata,2018S008930    
No hi ha causa mediata,2018S007939    
No hi ha causa mediata,2018S008143    
No hi ha causa mediata,2018S007281    
No hi ha causa mediata,2018S008090    
No hi ha causa mediata,2018S007192    
No hi ha causa mediata,2018S004636    
No hi ha causa mediata,2018S003433    
No hi ha causa mediata,2018S008738    
No hi ha causa mediata,2018S007194    
No hi ha causa mediata,2018S009092    
No hi ha causa mediata,2018S000379    
No hi ha causa mediata,2018S009941    
No hi ha causa mediata,2018S001747    
No hi ha causa mediata,2018S005451    
No hi ha causa mediata,2018S002986    
No hi ha causa mediata,2018S005166    
No hi ha causa mediata,2018S008411    
No hi ha causa mediata,2018S002745    
No hi ha causa mediata,2018S000987    
No hi ha causa mediata,2018S007484    
No hi ha causa mediata,2018S006163    
Calçada en mal estat,2018S004757    
No hi ha causa mediata,2018S004148    
No hi ha causa mediata,2018S007018    
No hi ha causa mediata,2018S003049    
No hi ha causa mediata,2018S005743    
Alcoholèmia,2018S008634    
No hi ha causa mediata,2018S004017    
No hi ha causa mediata,2018S007028    
No hi ha causa mediata,2018S003220    
No hi ha causa mediata,2018S008587    
No hi ha causa mediata,2018S009005    
No hi ha causa mediata,2018S007757    
No hi ha causa mediata,2018S005933    
No hi ha causa mediata,2018S006247    
No hi ha causa mediata,2018S001642    
No hi ha causa mediata,2018S001643    
No hi ha causa mediata,2018S002417    
No hi ha causa mediata,2018S002891    
No hi ha causa mediata,2018S003110    
No hi ha causa mediata,2018S005428    
No hi ha causa mediata,2018S008441    
No hi ha causa mediata,2018S006376    
No hi ha causa mediata,2018S005609    
No hi ha causa mediata,2018S001841    
No hi ha causa mediata,2018S002180    
No hi ha causa mediata,2018S000480    
No hi ha causa mediata,2018S006154    
No hi ha causa mediata,2018S001551    
No hi ha causa mediata,2018S006054    
No hi ha causa mediata,2018S005329    
No hi ha causa mediata,2018S000806    
No hi ha causa mediata,2018S008214    
No hi ha causa mediata,2018S004330    
No hi ha causa mediata,2018S002896    
No hi ha causa mediata,2018S002394    
No hi ha causa mediata,2018S003526    
No hi ha causa mediata,2018S005256    
No hi ha causa mediata,2018S003988    
No hi ha causa mediata,2018S006581    
No hi ha causa mediata,2018S007984    
No hi ha causa mediata,2018S004062    
No hi ha causa mediata,2018S005375    
No hi ha causa mediata,2018S001447    
No hi ha causa mediata,2018S001614    
No hi ha causa mediata,2018S003197    
No hi ha causa mediata,2018S007132    
No hi ha causa mediata,2018S003750    
No hi ha causa mediata,2018S007975    
No hi ha causa mediata,2018S002524    
No hi ha causa mediata,2018S007937    
No hi ha causa mediata,2018S003143    
No hi ha causa mediata,2018S006200    
No hi ha causa mediata,2018S008555    
No hi ha causa mediata,2018S004852    
No hi ha causa mediata,2018S001335    
No hi ha causa mediata,2018S008288    
No hi ha causa mediata,2018S004578    
No hi ha causa mediata,2018S006653    
No hi ha causa mediata,2018S000638    
No hi ha causa mediata,2018S001634    
No hi ha causa mediata,2018S006677    
No hi ha causa mediata,2018S003797    
No hi ha causa mediata,2018S001410    
No hi ha causa mediata,2018S002470    
No hi ha causa mediata,2018S007590    
No hi ha causa mediata,2018S005792    
No hi ha causa mediata,2018S007110    
No hi ha causa mediata,2018S000651    
No hi ha causa mediata,2018S008113    
No hi ha causa mediata,2018S000873    
No hi ha causa mediata,2018S006694    
No hi ha causa mediata,2018S002348    
No hi ha causa mediata,2018S000896    
No hi ha causa mediata,2018S001797    
No hi ha causa mediata,2018S009543    
No hi ha causa mediata,2018S002982    
No hi ha causa mediata,2018S007949    
No hi ha causa mediata,2018S000664    
No hi ha causa mediata,2018S007130    
No hi ha causa mediata,2018S003549    
No hi ha causa mediata,2018S006308    
No hi ha causa mediata,2018S005508    
No hi ha causa mediata,2018S008539    
No hi ha causa mediata,2018S002822    
No hi ha causa mediata,2018S003386    
No hi ha causa mediata,2018S005446    
No hi ha causa mediata,2018S006951    
No hi ha causa mediata,2018S005725    
No hi ha causa mediata,2018S001775    
No hi ha causa mediata,2018S005268    
No hi ha causa mediata,2018S000178    
No hi ha causa mediata,2018S000837    
No hi ha causa mediata,2018S009533    
No hi ha causa mediata,2018S007789    
No hi ha causa mediata,2018S008568    
No hi ha causa mediata,2018S001707    
No hi ha causa mediata,2018S006480    
No hi ha causa mediata,2018S000019    
No hi ha causa mediata,2018S008647    
No hi ha causa mediata,2018S001839    
No hi ha causa mediata,2018S005162    
No hi ha causa mediata,2018S003980    
No hi ha causa mediata,2018S004635    
No hi ha causa mediata,2018S007054    
No hi ha causa mediata,2018S001340    
No hi ha causa mediata,2018S004056    
No hi ha causa mediata,2018S000924    
No hi ha causa mediata,2018S009412    
No hi ha causa mediata,2018S000534    
No hi ha causa mediata,2018S003330    
No hi ha causa mediata,2018S003345    
No hi ha causa mediata,2018S002315    
Alcoholèmia,2018S001738    
No hi ha causa mediata,2018S007727    
No hi ha causa mediata,2018S000623    
No hi ha causa mediata,2018S005809    
No hi ha causa mediata,2018S007315    
No hi ha causa mediata,2018S004420    
No hi ha causa mediata,2018S006625    
No hi ha causa mediata,2018S003187    
No hi ha causa mediata,2018S002178    
No hi ha causa mediata,2018S009670    
No hi ha causa mediata,2018S004928    
No hi ha causa mediata,2018S006872    
No hi ha causa mediata,2018S002193    
No hi ha causa mediata,2018S003164    
No hi ha causa mediata,2018S000529    
No hi ha causa mediata,2018S007510    
No hi ha causa mediata,2018S007609    
Alcoholèmia,2018S003773    
No hi ha causa mediata,2018S003637    
No hi ha causa mediata,2018S000166    
Alcoholèmia,2018S000299    
No hi ha causa mediata,2018S000146    
No hi ha causa mediata,2018S008235    
No hi ha causa mediata,2018S007534    
No hi ha causa mediata,2018S009461    
No hi ha causa mediata,2018S003054    
Alcoholèmia,2018S004544    
No hi ha causa mediata,2018S004227    
No hi ha causa mediata,2018S007615    
No hi ha causa mediata,2018S005337    
No hi ha causa mediata,2018S008502    
Excés de velocitat o inadequada,2018S008909    
No hi ha causa mediata,2018S009157    
No hi ha causa mediata,2018S008254    
No hi ha causa mediata,2018S006655    
No hi ha causa mediata,2018S006139    
No hi ha causa mediata,2018S004135    
No hi ha causa mediata,2018S002938    
No hi ha causa mediata,2018S002197    
No hi ha causa mediata,2018S005814    
No hi ha causa mediata,2018S001038    
No hi ha causa mediata,2018S006669    
No hi ha causa mediata,2018S000511    
No hi ha causa mediata,2018S008474    
No hi ha causa mediata,2018S005765    
No hi ha causa mediata,2018S004693    
No hi ha causa mediata,2018S007268    
No hi ha causa mediata,2018S003326    
No hi ha causa mediata,2018S005819    
No hi ha causa mediata,2018S005039    
Alcoholèmia,2018S001136    
No hi ha causa mediata,2018S003037    
No hi ha causa mediata,2018S004843    
No hi ha causa mediata,2018S008710    
No hi ha causa mediata,2018S004684    
No hi ha causa mediata,2018S004913    
No hi ha causa mediata,2018S007605    
No hi ha causa mediata,2018S001519    
No hi ha causa mediata,2018S004849    
No hi ha causa mediata,2018S003011    
No hi ha causa mediata,2018S006057    
Alcoholèmia,2018S004068    
Calçada en mal estat,2018S009476    
No hi ha causa mediata,2018S002799    
No hi ha causa mediata,2018S003880    
No hi ha causa mediata,2018S002136    
No hi ha causa mediata,2018S001599    
No hi ha causa mediata,2018S005777    
No hi ha causa mediata,2018S008195    
No hi ha causa mediata,2018S002313    
No hi ha causa mediata,2018S003647    
No hi ha causa mediata,2018S006302    
No hi ha causa mediata,2018S000232    
No hi ha causa mediata,2018S002154    
No hi ha causa mediata,2018S003915    
No hi ha causa mediata,2018S009562    
No hi ha causa mediata,2018S006281    
Calçada en mal estat,2018S005403    
No hi ha causa mediata,2018S009174    
No hi ha causa mediata,2018S002547    
No hi ha causa mediata,2018S008520    
No hi ha causa mediata,2018S000676    
No hi ha causa mediata,2018S002001    
No hi ha causa mediata,2018S007968    
No hi ha causa mediata,2018S008469    
No hi ha causa mediata,2018S006214    
No hi ha causa mediata,2018S000332    
No hi ha causa mediata,2018S002963    
No hi ha causa mediata,2018S006254    
No hi ha causa mediata,2018S005251    
No hi ha causa mediata,2018S002662    
No hi ha causa mediata,2018S007181    
No hi ha causa mediata,2018S007632    
No hi ha causa mediata,2018S005086    
No hi ha causa mediata,2018S009356    
No hi ha causa mediata,2018S009254    
No hi ha causa mediata,2018S007068    
No hi ha causa mediata,2018S008554    
No hi ha causa mediata,2018S007714    
No hi ha causa mediata,2018S001177    
No hi ha causa mediata,2018S009823    
No hi ha causa mediata,2018S003965    
No hi ha causa mediata,2018S004672    
No hi ha causa mediata,2018S008943    
No hi ha causa mediata,2018S006890    
No hi ha causa mediata,2018S006229    
No hi ha causa mediata,2018S009816    
No hi ha causa mediata,2018S001743    
No hi ha causa mediata,2018S000164    
No hi ha causa mediata,2018S003572    
No hi ha causa mediata,2018S005982    
Alcoholèmia,2018S003067    
No hi ha causa mediata,2018S004142    
No hi ha causa mediata,2018S004260    
No hi ha causa mediata,2018S001259    
No hi ha causa mediata,2018S003073    
No hi ha causa mediata,2018S003947    
No hi ha causa mediata,2018S001945    
No hi ha causa mediata,2018S007114    
No hi ha causa mediata,2018S004670    
No hi ha causa mediata,2018S006827    
No hi ha causa mediata,2018S007559    
No hi ha causa mediata,2018S008390    
No hi ha causa mediata,2018S005463    
No hi ha causa mediata,2018S003759    
No hi ha causa mediata,2018S006435    
Alcoholèmia,2018S001930    
No hi ha causa mediata,2018S007653    
No hi ha causa mediata,2018S009535    
No hi ha causa mediata,2018S002681    
No hi ha causa mediata,2018S000137    
No hi ha causa mediata,2018S006189    
No hi ha causa mediata,2018S009956    
No hi ha causa mediata,2018S004683    
No hi ha causa mediata,2018S004516    
No hi ha causa mediata,2018S006232    
No hi ha causa mediata,2018S004853    
No hi ha causa mediata,2018S005310    
No hi ha causa mediata,2018S004751    
No hi ha causa mediata,2018S004733    
No hi ha causa mediata,2018S003139    
No hi ha causa mediata,2018S003457    
No hi ha causa mediata,2018S006528    
No hi ha causa mediata,2018S004222    
No hi ha causa mediata,2018S005131    
No hi ha causa mediata,2018S005616    
No hi ha causa mediata,2018S005312    
No hi ha causa mediata,2018S000073    
No hi ha causa mediata,2018S006731    
No hi ha causa mediata,2018S006489    
No hi ha causa mediata,2018S002835    
No hi ha causa mediata,2018S000352    
No hi ha causa mediata,2018S007973    
No hi ha causa mediata,2018S001522    
No hi ha causa mediata,2018S007881    
No hi ha causa mediata,2018S008144    
No hi ha causa mediata,2018S004651    
No hi ha causa mediata,2018S008393    
No hi ha causa mediata,2018S000659    
No hi ha causa mediata,2018S004933    
No hi ha causa mediata,2018S003900    
No hi ha causa mediata,2018S006016    
No hi ha causa mediata,2018S005779    
No hi ha causa mediata,2018S005422    
No hi ha causa mediata,2018S006129    
No hi ha causa mediata,2018S003611    
No hi ha causa mediata,2018S001577    
No hi ha causa mediata,2018S002435    
No hi ha causa mediata,2018S007660    
No hi ha causa mediata,2018S009258    
No hi ha causa mediata,2018S006995    
No hi ha causa mediata,2018S000947    
No hi ha causa mediata,2018S001357    
No hi ha causa mediata,2018S004416    
No hi ha causa mediata,2018S007459    
No hi ha causa mediata,2018S000411    
No hi ha causa mediata,2018S009960    
No hi ha causa mediata,2018S002801    
No hi ha causa mediata,2018S004786    
No hi ha causa mediata,2018S006996    
No hi ha causa mediata,2018S003542    
No hi ha causa mediata,2018S001237    
No hi ha causa mediata,2018S000346    
No hi ha causa mediata,2018S004790    
No hi ha causa mediata,2018S007538    
No hi ha causa mediata,2018S007702    
Alcoholèmia,2018S005076    
No hi ha causa mediata,2018S002517    
No hi ha causa mediata,2018S001618    
No hi ha causa mediata,2018S000349    
No hi ha causa mediata,2018S000098    
No hi ha causa mediata,2018S002300    
No hi ha causa mediata,2018S009223    
Alcoholèmia,2018S008449    
No hi ha causa mediata,2018S006446    
No hi ha causa mediata,2018S000997    
No hi ha causa mediata,2018S009585    
No hi ha causa mediata,2018S009485    
No hi ha causa mediata,2018S003329    
No hi ha causa mediata,2018S008868    
Alcoholèmia,2018S000645    
No hi ha causa mediata,2018S003802    
No hi ha causa mediata,2018S002980    
No hi ha causa mediata,2018S007728    
No hi ha causa mediata,2018S003983    
No hi ha causa mediata,2018S004396    
No hi ha causa mediata,2018S000722    
No hi ha causa mediata,2018S003198    
No hi ha causa mediata,2018S006408    
No hi ha causa mediata,2018S009171    
No hi ha causa mediata,2018S000779    
No hi ha causa mediata,2018S002634    
No hi ha causa mediata,2018S002760    
No hi ha causa mediata,2018S002592    
No hi ha causa mediata,2018S009238    
No hi ha causa mediata,2018S006112    
No hi ha causa mediata,2018S006892    
No hi ha causa mediata,2018S000124    
No hi ha causa mediata,2018S001465    
No hi ha causa mediata,2018S006307    
No hi ha causa mediata,2018S004209    
No hi ha causa mediata,2018S004803    
No hi ha causa mediata,2018S007912    
No hi ha causa mediata,2018S004667    
No hi ha causa mediata,2018S009844    
No hi ha causa mediata,2018S001186    
No hi ha causa mediata,2018S007586    
No hi ha causa mediata,2018S005675    
No hi ha causa mediata,2018S002208    
No hi ha causa mediata,2018S003874    
No hi ha causa mediata,2018S002226    
No hi ha causa mediata,2018S006082    
No hi ha causa mediata,2018S009337    
No hi ha causa mediata,2018S007769    
No hi ha causa mediata,2018S002273    
No hi ha causa mediata,2018S002978    
No hi ha causa mediata,2018S001501    
No hi ha causa mediata,2018S000840    
No hi ha causa mediata,2018S006001    
No hi ha causa mediata,2018S007676    
No hi ha causa mediata,2018S009155    
No hi ha causa mediata,2018S003316    
No hi ha causa mediata,2018S007686    
No hi ha causa mediata,2018S006024    
No hi ha causa mediata,2018S000386    
No hi ha causa mediata,2018S006233    
No hi ha causa mediata,2018S003001    
No hi ha causa mediata,2018S004217    
No hi ha causa mediata,2018S004717    
No hi ha causa mediata,2018S008006    
No hi ha causa mediata,2018S000246    
No hi ha causa mediata,2018S004894    
No hi ha causa mediata,2018S009659    
No hi ha causa mediata,2018S007362    
No hi ha causa mediata,2018S005236    
No hi ha causa mediata,2018S005134    
No hi ha causa mediata,2018S004244    
No hi ha causa mediata,2018S008192    
No hi ha causa mediata,2018S003968    
No hi ha causa mediata,2018S005548    
No hi ha causa mediata,2018S008810    
No hi ha causa mediata,2018S003790    
No hi ha causa mediata,2018S006183    
No hi ha causa mediata,2018S004245    
No hi ha causa mediata,2018S005389    
No hi ha causa mediata,2018S008161    
No hi ha causa mediata,2018S000781    
No hi ha causa mediata,2018S007793    
No hi ha causa mediata,2018S006327    
No hi ha causa mediata,2018S005876    
No hi ha causa mediata,2018S009115    
No hi ha causa mediata,2018S008230    
No hi ha causa mediata,2018S002269    
No hi ha causa mediata,2018S008149    
No hi ha causa mediata,2018S004047    
No hi ha causa mediata,2018S009932    
No hi ha causa mediata,2018S009405    
No hi ha causa mediata,2018S005617    
No hi ha causa mediata,2018S009496    
No hi ha causa mediata,2018S009856    
No hi ha causa mediata,2018S005026    
No hi ha causa mediata,2018S001964    
No hi ha causa mediata,2018S009331    
No hi ha causa mediata,2018S005749    
No hi ha causa mediata,2018S007801    
No hi ha causa mediata,2018S002717    
No hi ha causa mediata,2018S004855    
No hi ha causa mediata,2018S007913    
No hi ha causa mediata,2018S004981    
No hi ha causa mediata,2018S007259    
Drogues o medicaments,2018S002932    
No hi ha causa mediata,2018S000449    
No hi ha causa mediata,2018S000358    
No hi ha causa mediata,2018S001134    
No hi ha causa mediata,2018S006415    
